claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
414724,39,M,1,73,58612.8,1,0,Own,50048,8/12/2023,Saturday,Highway,0,0,25,Phone,0,8,Large,24360.59273,silver,26633.27819,5196.552552,1000,1406.91,8.641800488,5,N
269568,33,M,1,72,35936,0,1,Own,50006,10/18/2024,Friday,Local,0,1,45,Phone,0,2,Medium,23457.35282,black,26707.46021,7957.267641,2000,1415.74,10.00976115,5,Y
974592,31,M,1,76,84940.8,1,1,Own,15021,12/23/2023,Saturday,Local,0,0,100,Phone,0,7,Medium,19752.42523,gray,15279.38583,3014.110884,1000,1199.44,8.264031851,3,N
995328,53,F,1,93,73526.4,0,1,Own,85027,2/25/2024,Sunday,Parking Lot,0,0,100,Phone,0,1,Medium,32910.34224,red,20909.27772,5671.599025,500,708.64,9.235943007,4,N
1140480,41,M,1,87,59403.2,1,0,Own,80046,9/4/2024,Wednesday,Local,0,0,25,Phone,0,6,Medium,28570.37675,red,34493.97997,4064.569489,1000,1187.96,10.25962917,2,N
1244160,42,F,0,68,29779.2,1,0,Own,80042,5/26/2024,Sunday,Local,0,1,84,Phone,1,4,Medium,12689.88429,white,6535.967672,2812.365265,2000,972.18,9.443031698,2,Y
1700352,50,M,1,89,62611.2,1,1,Rent,20151,5/23/2024,Thursday,Parking Lot,0,0,10,Phone,0,6,Large,53451.42101,silver,7131.377201,5712.282494,2000,1104.5,8.588020977,3,N
1804032,42,F,1,68,79776,1,0,Own,80015,8/31/2023,Thursday,Parking Lot,1,0,77,Phone,1,2,Large,17740.69947,black,28271.74319,9218.58245,1000,1088.34,10.20650635,2,N
2135808,30,F,1,79,34419,1,1,Own,50041,9/27/2024,Friday,Parking Lot,0,0,61,Phone,0,7,Medium,28091.43192,silver,15488.98712,3973.694785,1000,988.45,7.041739847,3,Y
2198016,49,F,0,57,62248,1,0,Own,80015,7/24/2023,Monday,Local,0,0,18,Phone,1,10,Large,23264.32531,blue,33770.80035,4264.395565,2000,1155.55,9.49194457,5,N
2322432,70,M,1,58,67980.8,1,0,Own,20158,11/6/2024,Wednesday,Local,0,0,50,Phone,0,5,Compact,29214.5357,black,19172.68928,2417.922997,500,1451.62,7.454180856,4,N
2343168,28,F,1,49,53307.2,1,1,Rent,15057,6/24/2023,Saturday,Parking Lot,1,0,50,Phone,1,5,Compact,23876.17436,silver,32074.03469,3456.679158,500,1737.66,10.66792937,8,Y
2446848,38,M,1,78,58198.4,0,0,Rent,20140,2/26/2024,Monday,Local,0,0,50,Phone,1,3,Large,17991.21351,gray,12246.51763,7204.667355,500,538.17,10.04835868,5,N
2592000,42,F,0,92,39814.4,1,1,Own,50009,9/3/2023,Sunday,Highway,0,0,72,Phone,1,4,Compact,12006.5627,red,12427.00182,3388.568025,2000,1273.7,9.966159716,4,Y
3525120,23,M,1,82,20164.8,1,0,Rent,15015,3/21/2024,Thursday,Highway,0,0,80,Phone,1,6,Compact,12224.5503,white,24375.06253,5335.459014,500,1848.81,9.411242095,4,Y
3608064,55,M,1,83,14104,0,1,Own,80107,8/31/2024,Saturday,Parking Lot,0,0,69,Phone,0,4,Compact,12845.13183,other,30130.72245,6011.22711,500,1362.87,8.528898183,3,Y
3649536,44,F,0,65,160546,1,1,Rent,85001,9/1/2024,Sunday,Local,0,0,86,Phone,1,4,Large,76566.41329,silver,30982.76488,10852.36645,500,1239.22,8.592964817,3,N
3981312,37,F,0,68,7786,0,1,Rent,80022,5/26/2024,Sunday,Highway,0,0,51,Phone,1,5,Large,34708.88292,black,23599.39624,5904.032433,500,1105.49,8.546369217,9,Y
4209408,40,F,1,77,99026,1,1,Own,50047,8/6/2023,Sunday,Parking Lot,0,0,50,Phone,1,5,Medium,19450.25858,silver,12600.65557,5891.41743,1000,1425.54,9.551207744,2,N
4250880,35,F,1,63,56881.6,1,1,Own,80003,9/27/2023,Wednesday,Highway,0,0,93,Phone,1,3,Medium,22227.21526,black,18229.27521,5429.714276,1000,1038.09,9.545037903,3,N
4292352,54,F,0,79,63856,1,1,Own,80005,5/27/2024,Monday,Highway,0,0,32,Phone,1,10,Medium,34694.52214,blue,12470.68379,8093.500512,1000,1489.24,8.645313687,2,N
4748544,27,M,0,36,32728,1,0,Rent,50023,12/28/2024,Saturday,Parking Lot,2,0,71,Phone,1,5,Large,7879.238294,black,41443.38211,6794.780109,2000,769.95,9.057925582,2,Y
4790016,42,F,1,65,179808,0,1,Rent,85072,10/5/2023,Thursday,Parking Lot,3,0,93,Phone,1,6,Large,34221.32516,silver,21670.54025,4019.553749,2000,1514.72,10.20500492,5,N
4955904,62,M,0,90,66056,1,1,Own,50021,12/22/2024,Sunday,Local,0,0,76,Phone,1,4,Large,16521.38304,white,24548.54157,5001.112247,500,1612.43,9.534852522,2,N
